,lat,long,depth,mag,stations
174,-15.2,184.68,99,4.1,14
175,-15.03,182.29,399,4.1,10
178,-17.42,185.16,206,4.5,22
179,-17.84,181.48,542,4.1,20
180,-15.02,184.24,339,4.6,27
182,-24.6,183.5,67,4.3,25
183,-19.88,184.3,161,4.4,17
184,-20.3,183,375,4.2,15
185,-20.45,181.85,534,4.1,14
187,-22.3,181.9,309,4.3,11
189,-24.27,179.88,523,4.6,24
190,-15.85,185.13,290,4.6,29
193,-17.87,182,569,4.6,12
194,-24.08,179.5,605,4.1,21
196,-20.36,181.19,637,4.2,23
197,-23.85,182.53,204,4.6,27
198,-24,182.75,175,4.5,14
201,-19.67,182.18,360,4.3,23
202,-17.7,182.2,445,4,12
205,-12.95,169.09,629,4.5,19
206,-21.97,182.32,261,4.3,13
208,-20.32,181.69,508,4.5,14
210,-20.2,182.3,533,4.2,11
212,-16.17,184.1,338,4.3,13
213,-28.25,181.71,226,4.1,19
215,-23.55,180.27,535,4.3,22
216,-20.94,181.58,573,4.3,21
217,-26.67,182.4,186,4.2,17
219,-20.21,183.83,242,4.4,29
220,-18.31,182.39,342,4.2,14
224,-20.37,182.1,397,4.2,22
225,-23.77,180.16,505,4.5,26
227,-21.55,182.9,207,4.2,18
228,-16.24,185.75,154,4.5,22
232,-24.64,180.81,397,4.3,24
233,-16,182.82,431,4.4,16
235,-23.84,180.13,525,4.5,15
236,-23.54,179.93,574,4,12
237,-28.23,182.68,74,4.4,20
239,-13.44,166.53,44,4.7,27
242,-24.36,182.84,148,4.1,16
243,-14.7,166,48,5.3,16
246,-18.11,181.67,597,4.6,28
247,-17.95,181.65,619,4.3,26
248,-15.5,186.9,46,4.7,18
250,-19.15,169.5,150,4.2,12
251,-10.97,166.26,180,4.7,26
252,-14.85,167.24,97,4.5,26
255,-29.1,182.1,179,4.4,19
256,-20.32,180.88,680,4.2,22
259,-23.81,179.36,521,4.2,23
263,-19.06,169.01,158,4.4,10
264,-17.88,181.47,562,4.4,27
265,-19.41,183.05,300,4.2,16
267,-14.95,167.24,130,4.6,16
268,-18.73,168.8,82,4.4,14
270,-21.29,180.85,607,4.5,23
271,-19.76,181.41,105,4.4,15
273,-23.8,179.9,498,4.1,12
274,-20.16,181.99,504,4.2,11
276,-17.44,181.4,529,4.6,25
278,-24.78,179.22,492,4.3,16
279,-22,180.52,561,4.5,19
281,-30.72,180.1,413,4.4,22
282,-22.32,180.54,565,4.2,12
283,-16.45,177.77,138,4.6,17
284,-17.7,185,383,4,10
285,-17.95,184.68,260,4.4,21
286,-24.4,179.85,522,4.7,29
287,-19.3,180.6,671,4.2,16
289,-18.07,181.57,572,4.5,26
292,-13.34,166.2,67,4.8,18
298,-17.94,181.51,601,4,16
299,-30.64,181.2,175,4,16
300,-18.64,169.32,260,4.6,23
301,-13.09,169.28,654,4.4,22
304,-21.09,181.38,555,4.6,15
305,-14.99,171.39,637,4.3,21
306,-23.3,179.7,500,4.7,29
307,-17.68,181.36,515,4.1,19
308,-22,180.53,583,4.9,20
310,-32.62,181.5,55,4.8,26
314,-21.34,181.41,464,4.5,21
316,-17.4,181.02,479,4.4,14
317,-17.32,181.03,497,4.1,13
319,-26.16,179.5,492,4.5,25
320,-12.59,167.1,325,4.9,26
321,-14.82,167.32,123,4.8,28
323,-19.83,182.04,575,4.4,23
324,-29.5,182.31,129,4.4,14
326,-26.1,182.3,49,4.4,11
327,-21.04,181.2,483,4.2,10
328,-10.78,165.77,93,4.6,20
329,-20.76,185.77,118,4.6,15
332,-23.91,180,534,4.5,11
333,-27.33,182.6,42,4.4,11
334,-12.25,166.6,219,5,28
336,-27.18,182.18,56,4.5,14
337,-25.8,182.1,68,4.5,26
339,-27.27,182.38,45,4.5,16
340,-27.1,182.18,43,4.7,17
341,-27.22,182.28,65,4.2,14
342,-27.38,181.7,80,4.8,13
343,-27.27,182.5,51,4.5,13
344,-27.54,182.5,68,4.3,12
345,-27.2,182.39,69,4.3,14
346,-27.71,182.47,103,4.3,11
347,-27.6,182.4,61,4.6,11
348,-27.38,182.39,69,4.5,12
349,-21.54,185.48,51,5,29
350,-27.21,182.43,55,4.6,10
351,-28.96,182.61,54,4.6,15
352,-12.01,166.29,59,4.9,27
353,-17.46,181.32,573,4.1,17
355,-27.27,182.36,65,4.7,21
359,-27.18,182.53,60,4.6,21
360,-11.64,166.47,130,4.7,19
361,-17.98,181.58,590,4.2,14
362,-16.9,185.72,135,4,22
364,-32.14,179.9,406,4.3,19
365,-18.8,169.21,221,4.4,16
366,-26.78,183.61,40,4.6,22
368,-18.3,183.2,103,4.5,14
369,-15.83,182.51,423,4.2,21
370,-23.44,182.93,158,4.1,20
375,-20.31,184.06,249,4.4,21
377,-18.2,181.6,553,4.4,14
382,-13.47,167.14,226,4.4,26
383,-25.5,182.82,124,5,25
387,-17.82,181.49,573,4.2,14
389,-10.72,165.99,195,4,14
391,-20.36,186.16,102,4.3,21
392,-27.17,183.68,44,4.8,27
393,-20.94,181.26,556,4.4,21
394,-17.46,181.9,417,4.2,14
396,-23.7,179.6,646,4.2,21
401,-30.8,182.16,41,4.7,24
403,-30.4,181.4,40,4.3,17
406,-17.95,181.5,593,4.3,16
407,-20.51,182.3,492,4.3,23
408,-15.36,167.51,123,4.7,28
409,-23.61,180.23,475,4.4,26
410,-33.2,181.6,153,4.2,21
414,-25.04,180.1,481,4.3,15
415,-21.5,185.2,139,4.4,15
417,-14.43,167.26,151,4.4,17
419,-34.1,181.8,246,4.3,23
420,-19.7,186.2,47,4.8,19
421,-24.19,180.38,484,4.3,27
422,-26.6,182.77,119,4.5,29
423,-17.04,186.8,70,4.1,22
426,-33,182.4,176,4.6,28
428,-20.61,182.6,488,4.6,12
429,-19.47,169.15,149,4.4,15
430,-17.47,180.96,546,4.2,23
431,-18.4,183.4,343,4.1,10
432,-23.33,180.26,530,4.7,22
433,-18.55,182.23,563,4,17
435,-21.8,183.2,325,4.4,19
436,-27.63,182.93,80,4.3,14
437,-18.89,169.48,259,4.4,21
438,-20.3,182.3,476,4.5,10
439,-20.56,182.04,499,4.5,29
441,-12.66,166.37,165,4.3,18
442,-21.05,184.68,136,4.7,29
444,-19.83,182.54,524,4.6,14
446,-22.28,183.52,90,4.7,19
447,-15.72,185.64,138,4.3,21
450,-25.31,180.15,467,4.5,25
451,-26.46,182.5,184,4.3,11
452,-24.09,179.68,538,4.3,21
453,-16.96,167.7,45,4.7,23
454,-23.19,182.8,237,4.3,18
455,-20.81,184.7,162,4.3,20
456,-15.03,167.32,136,4.6,20
457,-18.06,181.59,604,4.5,23
458,-19,185.6,107,4.5,15
461,-15.66,186.8,45,4.4,11
464,-18.05,180.86,632,4.4,15
466,-20.9,181.9,556,4.4,17
467,-15.61,167.5,135,4.4,21
468,-16.03,185.43,297,4.8,25
469,-17.68,181.11,568,4.4,22
472,-18,185.48,143,4.4,29
473,-16.95,185.94,95,4.3,12
475,-20.83,185.9,104,4.5,19
476,-32.9,181.6,169,4.6,27
478,-29.09,183.2,54,4.6,23
479,-23.56,180.23,474,4.5,13
480,-19.6,185.2,125,4.4,13
481,-21.39,180.68,617,4.5,18
482,-14.85,184.87,294,4.1,10
483,-22.7,183.3,180,4,13
485,-17.9,181.3,593,4.1,13
488,-17.61,181.2,537,4.1,11
490,-13.84,170.62,638,4.6,20
491,-30.24,181.63,80,4.5,17
493,-23.45,180.23,520,4.2,19
494,-16.04,183.54,384,4.2,23
495,-17.14,185.31,223,4.1,15
497,-15.9,185.3,57,4.4,19
498,-30.04,181.2,49,4.8,20
499,-24.03,180.22,508,4.2,23
502,-20.1,186.3,63,4.6,19
504,-13.07,166.87,132,4.4,24
505,-23.46,180.09,543,4.6,28
506,-19.41,182.3,589,4.2,19
507,-11.81,165.98,51,4.7,28
515,-17.81,181.82,598,4.1,14
516,-15.17,187.2,50,4.7,28
517,-11.67,166.02,102,4.6,21
518,-20.75,184.52,144,4.3,25
519,-19.5,186.9,58,4.4,20
521,-20.66,185.77,69,4.3,25
522,-19.22,182.54,570,4.1,22
524,-15.43,167.38,137,4.5,16
526,-21.31,180.84,586,4.5,17
529,-15.26,183.13,393,4.4,28
533,-21,183.2,296,4,16
534,-16.28,166.94,50,4.6,24
538,-15.96,166.69,150,4.2,20
542,-15.29,166.9,100,4.2,15
543,-15.86,166.85,85,4.5,22
544,-16.2,166.8,98,4.5,21
545,-15.71,166.91,58,4.8,20
546,-16.45,167.54,125,4.6,18
550,-21.16,181.41,543,4.3,17
551,-20.65,182.22,506,4.3,24
553,-15.08,166.62,42,4.7,23
555,-23.44,184.6,63,4.8,27
556,-23.12,184.42,104,4.2,17
557,-23.65,184.46,93,4.2,16
559,-22.06,180.47,587,4.6,28
560,-13.56,166.49,83,4.5,25
562,-23.92,184.47,40,4.7,17
563,-30.69,182.1,62,4.9,25
565,-25.04,180.97,393,4.2,21
566,-19.92,183.91,264,4.2,23
567,-27.75,182.26,174,4.5,18
569,-19.6,183.84,309,4.5,23
573,-17.02,182.41,420,4.5,29
574,-20.41,186.51,63,5,28
575,-18.18,182.04,609,4.4,26
576,-16.49,187.8,40,4.5,18
578,-20.49,181.69,559,4.5,24
582,-20.57,181.33,605,4.3,18
584,-20.04,181.87,577,4.7,19
585,-20.89,181.25,599,4.6,20
587,-20.09,168.75,50,4.6,23
588,-24.96,179.87,480,4.4,25
589,-20.95,181.42,559,4.6,27
591,-20.95,181.06,611,4.3,20
592,-21.58,181.9,409,4.4,19
595,-21.79,185,74,4.1,15
598,-17.02,182.93,406,4,17
602,-28.1,182.25,68,4.6,18
604,-21.24,180.86,615,4.9,23
606,-32.82,179.8,176,4.7,26
607,-22,185.5,52,4.4,18
610,-33.03,180.2,186,4.6,27
611,-30.09,182.4,51,4.4,18
613,-17.99,168.98,234,4.7,28
614,-19.6,181.87,597,4.2,18
619,-18.07,181.54,546,4.3,28
622,-34.63,179.1,278,4.7,24
626,-23.97,179.91,518,4.5,23
628,-25.25,179.86,491,4.2,23
631,-21.46,181.02,584,4.2,18
633,-28.56,183.59,53,4.4,20
634,-21.3,180.92,617,4.5,26
635,-20.08,183.22,294,4.3,18
637,-19.51,183.97,280,4,16
639,-17.4,186.54,85,4.2,28
641,-21.23,181.09,613,4.6,18
642,-16.23,167.91,182,4.5,28
648,-15.48,186.73,82,4.4,17
650,-20.48,181.38,556,4.2,13
654,-23.1,180.12,533,4.4,27
655,-14.28,170.34,642,4.7,29
656,-22.87,171.72,47,4.6,27
658,-27.6,182.1,154,4.6,22
659,-17.94,180.6,627,4.5,29
660,-17.88,180.58,622,4.2,23
665,-18.44,181.04,624,4.2,21
671,-17.8,181.32,539,4.1,12
673,-18.12,181.71,594,4.6,24
675,-15.34,167.1,128,5.3,18
679,-23.11,179.15,564,4.7,17
682,-20.16,184.27,210,4.4,27
684,-18.19,181.74,616,4.3,17
685,-15.35,186.4,98,4.4,17
686,-18.69,169.1,218,4.2,27
687,-18.89,181.24,655,4.1,14
688,-17.61,183.32,356,4.2,15
690,-17.6,181.5,548,4.1,10
691,-17.96,181.4,655,4.3,20
693,-20.61,182.44,518,4.2,10
695,-25.23,179.86,476,4.4,29
696,-23.9,179.9,579,4.4,16
698,-15.43,185.19,249,4,11
699,-14.3,167.32,208,4.8,25
701,-13.9,167.18,221,4.2,21
704,-25,180,488,4.5,10
705,-19.45,184.48,246,4.3,15
706,-16.11,187.48,61,4.5,19
707,-23.73,179.98,524,4.6,11
710,-20.97,181.72,487,4.3,16
714,-21.44,170.45,166,5.1,22
715,-22.16,180.49,586,4.6,13
716,-13.36,172.76,618,4.4,18
718,-26.1,182.5,133,4.2,17
720,-17.2,182.9,383,4.1,11
722,-17.91,181.48,555,4,17
725,-16.31,168.08,204,4.5,16
726,-18.76,169.71,287,4.4,23
727,-17.1,182.8,390,4,14
729,-23.5,180,550,4.7,23
730,-21.26,181.69,487,4.4,20
733,-30.3,180.8,275,4,14
734,-24.89,179.67,498,4.2,14
735,-14.57,167.24,162,4.5,18
737,-22.06,183.95,134,4.5,17
738,-25.14,178.42,554,4.1,15
739,-20.3,181.4,608,4.6,13
740,-25.28,181.17,367,4.3,25
743,-22.1,185.3,50,4.6,22
747,-30.51,181.3,203,4.4,20
748,-22.55,183.34,66,4.6,18
749,-22.14,180.64,591,4.5,18
750,-25.6,180.3,440,4,12
751,-18.04,181.84,611,4.2,20
756,-12.16,167.03,264,4.4,14
760,-16.43,186.73,75,4.1,20
761,-20.7,184.3,182,4.3,17
762,-21.18,180.92,619,4.5,18
763,-17.78,185.33,223,4.1,10
766,-12.27,167.41,50,4.5,29
767,-19.1,184.52,230,4.1,16
768,-19.85,184.51,184,4.4,26
769,-11.37,166.55,188,4.7,24
770,-20.7,186.3,80,4,10
772,-16.4,182.73,391,4,16
773,-19.6,184.53,199,4.3,21
774,-21.63,180.77,592,4.3,21
775,-21.6,180.5,595,4,22
776,-21.77,181,618,4.1,10
777,-21.8,183.6,213,4.4,17
778,-21.05,180.9,616,4.3,10
779,-10.8,165.8,175,4.2,12
780,-17.9,181.5,589,4,12
781,-22.26,171.44,83,4.5,25
784,-20.4,186.1,74,4.3,22
789,-21.56,185.5,47,4.5,29
791,-18.07,181.65,593,4.1,16
792,-26,178.43,644,4.9,27
793,-20.21,181.9,576,4.1,16
794,-28,182,199,4,16
795,-20.74,180.7,589,4.4,27
796,-31.8,180.6,178,4.5,19
799,-22.9,183.8,71,4.3,19
803,-23.2,184.8,97,4.5,13
806,-19.13,184.97,210,4.1,22
808,-20.07,181.75,582,4.7,27
809,-20.9,182.02,402,4.3,18
813,-15.83,167.1,43,4.5,19
814,-23.73,183,118,4.3,11
816,-22.12,180.49,532,4,14
820,-22.1,180.4,603,4.1,11
823,-22.14,179.62,587,4.1,23
824,-21.48,182.44,364,4.3,20
825,-18.54,168.93,100,4.4,17
826,-21.62,182.4,350,4,12
827,-13.4,166.9,228,4.8,15
828,-15.5,185.3,93,4.4,25
830,-21.78,183.11,225,4.6,21
831,-30.63,180.9,334,4.2,28
832,-15.7,185.1,70,4.1,15
833,-19.2,184.37,220,4.2,18
834,-19.7,182.44,397,4,12
835,-19.4,182.29,326,4.1,15
836,-15.85,185.9,121,4.1,17
837,-17.38,168.63,209,4.7,29
845,-26.06,180.05,432,4.2,19
846,-17.56,181.23,580,4.1,16
848,-25.46,179.98,479,4.5,27
851,-15.18,185.93,77,4.1,16
856,-18.5,185.4,243,4,11
858,-15.65,185.17,315,4.1,15
859,-30.01,181.15,210,4.3,17
860,-13.16,167.24,278,4.3,17
861,-21.03,180.78,638,4,14
863,-17.93,181.89,567,4.1,27
864,-20.87,181.7,560,4.2,13
867,-22.85,181.37,397,4.2,15
868,-17.08,185.96,180,4.2,29
871,-20.91,181.57,530,4.2,20
874,-22.09,180.58,580,4.4,22
875,-17.8,181.2,530,4,15
876,-18.94,182.43,566,4.3,20
877,-18.85,182.2,501,4.2,23
880,-18.1,181.63,592,4.4,28
881,-18.4,184.84,221,4.2,18
882,-21.2,181.4,560,4.2,12
884,-11.7,166.3,139,4.2,15
888,-21.35,170.04,56,5,22
891,-12.57,167.11,231,4.8,28
892,-22.24,180.28,601,4.2,21
894,-21.07,183.78,180,4.3,25
895,-17.74,181.25,559,4.1,16
896,-23.87,180.15,524,4.4,22
901,-32.14,180,331,4.5,27
905,-17.46,181.42,524,4.2,16
909,-19.17,169.53,268,4.3,21
912,-22.33,171.51,112,4.6,14
917,-19.57,184.47,202,4.2,28
919,-25.06,182.8,133,4,14
923,-17.98,181.61,598,4.3,27
924,-18.4,181.77,600,4.1,11
927,-14.86,167.32,137,4.9,22
930,-14.1,166.01,69,4.8,29
931,-17.63,185.13,219,4.5,28
932,-23.47,180.21,553,4.2,23
934,-20.88,185.18,51,4.6,28
937,-18.14,181.71,574,4,20
939,-20.77,181.16,568,4.2,12
941,-20.83,181.01,622,4.3,15
942,-27.84,182.1,193,4.8,27
945,-23.7,184.13,51,4.8,27
946,-30.39,182.4,63,4.6,22
947,-18.98,182.32,442,4.2,22
949,-23.5,184.9,61,4.7,16
954,-23.47,179.95,543,4.1,21
955,-23.49,180.06,530,4,23
957,-27.08,183.44,63,4.7,27
961,-23.9,184.6,41,4.5,22
963,-12.57,166.72,137,4.3,20
964,-19.69,184.23,223,4.1,23
966,-17.99,181.59,595,4.1,26
968,-21.4,180.74,613,4.2,20
969,-15.86,166.98,60,4.8,25
971,-25.79,182.38,172,4.4,14
973,-24.1,184.5,68,4.7,23
975,-23.3,184.68,102,4.9,27
978,-28.1,183.5,42,4.4,17
979,-18.83,182.26,575,4.3,11
980,-23,170.7,43,4.9,20
982,-22.95,170.56,42,4.7,21
984,-27.99,183.5,71,4.3,22
985,-15.54,187.15,60,4.5,17
986,-12.37,166.93,291,4.2,16
988,-22.7,170.3,69,4.8,27
989,-17.86,181.3,614,4,12
991,-20.73,181.42,575,4.3,18
992,-15.45,181.42,409,4.3,27
994,-17.95,181.37,642,4,17
995,-17.7,188.1,45,4.2,10
996,-25.93,179.54,470,4.4,22
999,-17.4,187.8,40,4.5,14
